,state_id,year,conventional_energy,green_energy,pop_ideology,gov_ideology,population,median_income,green_per_capita,conv_per_capita,energy_total,perc_green_energy,perc_conv_energy,perc_change_green
38,AL,2000,87218388.0,37186194.0,32.09574890136719,67.07746887207031,4452173.0,50566,8.352369505857027,19.59007163468266,124404582.0,0.29891337925157774,0.7010866207484223,-0.021433539623142484
39,AL,2001,86623856.0,38713445.0,34.73192596435547,67.07746887207031,4467634.0,48800,8.665312556937296,19.389201532623307,125337301.0,0.3088740916800179,0.6911259083199821,0.009960712428440155
40,AL,2002,92116212.0,40681713.0,33.778839111328125,67.07746887207031,4480089.0,51380,9.080559113892603,20.561245993104155,132797925.0,0.3063429869103753,0.6936570130896247,-0.002531104769642578
41,AL,2003,93119859.0,44341820.0,28.70806121826172,44.617706298828125,4503491.0,49774,9.846099392671153,20.677261040379562,137461679.0,0.3225758649434218,0.6774241350565782,0.01623287803304646
42,AL,2004,95064843.0,42262010.0,39.14337921142578,44.617706298828125,4530729.0,47651,9.327860924809231,20.982239944167926,137326853.0,0.30774760417760394,0.6922523958223961,-0.014828260765817836
43,AL,2005,96084684.0,41838804.0,40.318115234375,44.617706298828125,4569805.0,46745,9.15549000449691,21.02599213752009,137923488.0,0.3033479257717148,0.6966520742282851,-0.004399678405889118
44,AL,2006,101711627.0,39162882.0,40.314231872558594,44.617706298828125,4628981.0,46255,8.460367843376329,21.972789907757235,140874509.0,0.27799835667927686,0.7220016433207231,-0.025349569092437962
45,AL,2007,105361446.0,38461241.0,47.25582504272461,44.0832405090332,4672840.0,50028,8.230806319069345,22.547625426935227,143822687.0,0.26742123793028566,0.7325787620697144,-0.010577118748991199
46,AL,2008,100732885.0,45128789.0,48.369239807128906,44.32643508911133,4718206.0,50761,9.564819552177248,21.349827667549913,145861674.0,0.3093944266675563,0.6906055733324438,0.04197318873727063
47,AL,2009,90629666.0,52251577.0,27.26303482055664,41.3604736328125,4757938.0,45789,10.981979378461846,19.04809730601786,142881243.0,0.36569934515477304,0.6343006548452269,0.05630491848721675
48,AL,2010,105138993.0,46645075.0,19.252901077270508,41.04792022705078,4785437.0,46120,9.747296850841417,21.97061480487571,151784068.0,0.3073120625545495,0.6926879374454504,-0.05838728260022352
49,AL,2011,107716987.0,48239720.0,36.038509368896484,28.798988342285156,4799069.0,46520,10.051891314752924,22.44539242923992,155956707.0,0.3093148151685455,0.6906851848314546,0.0020027526139959617
50,AL,2012,104375709.0,48276435.0,37.59914016723633,28.40795135498047,4815588.0,46490,10.02503432602623,21.674551269751483,152652144.0,0.3162512738766381,0.6837487261233619,0.006936458708092619
51,AL,2013,96854314.0,53715313.0,35.8233757019043,27.744247436523438,4830081.0,43616,11.12099631455456,20.052316720982525,150569627.0,0.3567473339095142,0.6432526660904858,0.04049606003287609
52,AL,2014,98629224.0,50710561.0,33.77626037597656,27.744247436523438,4841799.0,43820,10.473495698602937,20.370367295296646,149339785.0,0.33956497928532575,0.6604350207146743,-0.017182354624188434
53,AL,2015,100664240.0,51813186.0,34.95671081542969,24.830230712890625,4852347.0,46053,10.677963880159437,20.74547430346593,152477426.0,0.3398088973511397,0.6601911026488603,0.00024391806581397502
54,AL,2016,95467155.0,46917943.0,38.24081802368164,24.830230712890625,4863525.0,48237,9.646900756138809,19.629210295002082,142385098.0,0.32951442011157656,0.6704855798884234,-0.010294477239563171
